split,task_id,demo_pairs,input_cells,distinct_colours
training,4347f46a,3,158.66666666666666,8
training,4364c1c4,3,164.0,7
training,444801d8,3,100.0,6
training,445eab21,3,100.0,6
training,447fd412,3,168.0,3
training,44d8ac46,4,144.0,2
training,44f52bb0,6,9.0,2
training,4522001f,2,9.0,3
training,456873bc,3,201.0,3
training,45737921,3,107.66666666666667,8
training,458e3a53,2,841.0,10
training,45bbe264,3,207.0,6
training,4612dd53,3,143.0,2
training,46442a0e,3,7.333333333333333,5
training,465b7d93,3,100.0,5
training,469497ad,3,25.0,8
training,46c35fc7,3,49.0,10
training,46f33fce,3,100.0,6
training,470c91de,3,107.0,8
training,47c1f68c,3,83.66666666666667,6
training,48131b3c,3,9.666666666666666,4
training,484b58aa,3,841.0,9
training,4852f2fa,5,81.0,3
training,48634b99,3,256.0,3
training,48d8fb45,3,100.0,5
training,48f8583b,6,9.0,9
training,4938f0c2,3,289.3333333333333,3
training,494ef9d7,4,49.75,9
training,496994bd,2,40.0,4
training,49d1d64f,3,6.333333333333333,6
training,4a1cacc2,4,45.0,4
training,4acc7107,4,100.0,8
training,4b6b68e5,3,335.6666666666667,8
training,4be741c5,3,128.66666666666666,6
training,4c177718,4,225.0,8
training,4c4377d9,4,12.0,5
training,4c5c2cf0,3,178.66666666666666,6
training,4cd1b7b2,3,16.0,5
training,4df5b0ae,3,100.0,9
training,4e45f183,3,361.0,6
training,4e469f39,3,100.0,2
training,4e7e0eb9,4,173.5,10
training,4f537728,2,400.0,4
training,4ff4c9da,3,419.6666666666667,4
training,5034a0b5,4,119.25,10
training,505fff84,5,83.2,4
training,506d28a5,4,45.0,4
training,50846271,4,328.5,3
training,508bd3b6,3,144.0,3
training,50a16a69,3,181.66666666666666,8
training,50aad11f,3,164.0,7
training,50c07299,3,256.0,2
training,50cb2852,3,161.0,4
training,50f325b5,4,253.0,6
training,5117e062,3,169.0,7
training,5168d44c,3,77.0,3
training,516b51b7,3,166.0,2
training,5207a7b5,3,99.33333333333333,2
training,522fdd07,4,256.0,10
training,52364a65,2,101.0,6
training,5289ad53,4,156.25,5
training,52df9849,2,256.0,5
training,52fd389e,3,625.0,6
training,538b439f,2,389.0,5
training,539a4f51,3,25.0,6
training,53b68214,3,63.333333333333336,4
training,543a7ed5,2,225.0,2
training,54d82841,3,41.333333333333336,4
training,54d9e175,4,44.0,6
training,54db823b,4,225.0,3
training,54dc2872,2,150.0,10
training,55059096,3,173.33333333333334,2
training,551d5bf1,2,636.0,2
training,5521c0d9,3,225.0,4
training,5582e5ca,3,9.0,7
training,5587a8d0,3,55.333333333333336,9
training,5614dbcf,2,81.0,8
training,5623160b,3,108.33333333333333,10
training,56dc2b01,3,78.0,3
training,56ff96f3,4,80.5,6
training,5751f35e,2,100.0,4
training,575b1a71,3,100.0,2
training,5783df64,3,51.0,10
training,5792cb4d,2,100.0,8
training,57aa92db,4,264.0,7
training,57edb29d,3,440.0,8
training,5833af48,3,273.0,6
training,58743b76,2,122.0,7
training,58c02a16,3,75.33333333333333,7
training,58e15b12,3,414.3333333333333,3
training,59341089,4,9.0,3
training,5a5a2103,2,278.5,8
training,5a719d11,3,385.3333333333333,8
training,5ad4f10b,3,512.6666666666666,7
training,5ad8a7c0,5,24.0,2
training,5adee1b2,2,400.0,6
training,5af49b42,3,177.33333333333334,9
training,5b37cb25,2,900.0,7
training,5b526a93,2,337.5,2
training,5b692c0f,2,259.5,5
training,5b6cbef5,5,16.0,5
training,5bd6f4ac,4,81.0,10
training,5c0a986e,3,100.0,3
training,5c2c9af4,3,529.0,4
training,5d2a5c43,5,54.0,3
training,5d588b4d,4,112.5,5
training,5daaa586,3,279.3333333333333,7
training,5e6bbc0b,4,30.0,3
training,5ecac7f7,3,85.0,10
training,5ffb2104,3,67.33333333333333,6
training,60a26a3e,3,184.66666666666666,2
training,60b61512,2,81.0,2
training,60c09cac,2,12.5,5
training,60d73be6,3,111.66666666666667,10
training,6150a2bd,2,9.0,7
training,6165ea8f,3,400.0,7
training,623ea044,3,166.33333333333334,4
training,626c0bcc,3,49.0,2
training,62ab2642,3,95.0,2
training,62b74c02,3,40.0,5
training,62c24649,3,9.0,4
training,6350f1f4,4,73.0,7
training,63613498,3,100.0,9
training,639f5a19,2,529.0,2
training,642248e4,3,138.66666666666666,6
training,642d658d,3,516.0,9
training,6430c8c4,4,36.0,4
training,6455b5f5,4,198.25,2
training,64a7c07e,3,89.66666666666667,2
training,652646ff,4,192.25,8
training,662c240a,4,27.0,9
training,668eec9a,3,256.0,7
training,66ac4c3b,2,484.0,5
training,66e6c45b,2,16.0,7
training,66f2d22f,4,56.0,3
training,67385a82,4,19.75,2
training,673ef223,3,184.0,3
training,67636eac,3,167.0,5
training,6773b310,4,121.0,3
training,67a3c6ac,3,33.666666666666664,4
training,67a423a3,3,38.666666666666664,7
training,67c52801,4,58.5,8
training,67e8384a,4,9.0,8
training,681b3aeb,3,100.0,6
training,6855a6e4,3,225.0,3
training,689c358e,2,121.0,6
training,68b16354,3,33.0,6
training,68b67ca3,3,36.0,6
training,68bc2e87,4,342.0,9
training,692cd3b6,3,225.0,3
training,694f12f3,2,100.0,2
training,695367ec,3,9.666666666666666,3
training,696d4842,3,566.6666666666666,7
training,69889d6e,4,100.0,3
training,6a11f6da,5,75.0,4
training,6a1e5592,2,150.0,3
training,6a980be1,3,293.0,6
training,6aa20dc0,3,420.6666666666667,6
training,6ad5bdfd,3,55.0,10
training,6b9890af,3,433.3333333333333,5
training,6bcdb01e,2,37.0,3
training,6c434453,2,100.0,2
training,6ca952ad,3,176.66666666666666,4
training,6cbe9eb8,3,325.0,8
training,6cdd2623,3,252.33333333333334,7
training,6cf79266,3,400.0,4
training,6d0160f0,4,121.0,10
training,6d0aefbc,4,9.0,3
training,6d1d5c90,3,42.0,8
training,6d58a25d,3,400.0,7
training,6d75e8bb,3,89.33333333333333,2
training,6df30ad6,5,100.0,9
training,6e02f1e3,5,9.0,3
training,6e19193c,2,100.0,3
training,6e82a1ae,3,100.0,2
training,6ea4a07e,6,9.0,4
training,6ecd11f4,3,575.3333333333334,10
training,6f473927,4,29.0,2
training,6f8cd79b,4,17.75,1
training,6fa7a44f,4,9.0,8
training,6ffe8f07,4,356.25,4
training,7039b2d7,3,423.3333333333333,5
training,705a3229,4,140.5,6
training,712bf12e,3,177.66666666666666,3
training,72207abc,3,67.0,6
training,72322fa7,3,236.0,7
training,72a961c9,4,83.75,4
training,72ca375d,3,100.0,8
training,73182012,3,144.0,7
training,73c3b0d8,4,52.25,3
training,73ccf9c2,3,456.6666666666667,4
training,7447852a,3,43.0,2
training,7468f01a,3,199.0,7
training,746b3537,5,13.0,6
training,74dd1130,4,9.0,6
training,753ea09b,3,900.0,8
training,758abdf0,2,128.0,3
training,759f3fd3,2,250.0,2
training,75b8110e,5,64.0,5
training,760b3cac,3,54.0,3
training,762cd429,3,253.33333333333334,6
training,770cc55f,4,61.0,5
training,776ffc46,4,400.0,5
training,77fdfe62,3,54.666666666666664,9
training,780d0b14,3,395.6666666666667,8
training,782b5218,3,100.0,5
training,7837ac64,4,785.0,7
training,78e78cff,2,126.5,4
training,79369cc6,3,268.3333333333333,5
training,794b24be,10,9.0,2
training,7953d61e,5,16.0,8
training,79cce52d,3,49.0,9
training,7acdf6d3,2,212.5,3
training,7b6016b9,3,527.6666666666666,4
training,7b7f7511,3,20.666666666666668,6
training,7bb29440,5,348.4,4
training,7c008303,3,81.0,8
training,7c8af763,3,100.0,4
training,7c9b52a0,3,256.0,7
training,7d18a6fb,3,272.0,8
training,7d1f7ee8,3,484.3333333333333,8
training,7d419a02,3,268.0,3
training,7d7772cc,2,256.0,9
training,7ddcd7ec,3,100.0,4
training,7df24a62,4,529.0,3
training,7e02026e,3,144.0,2
training,7e0986d6,2,195.0,5
training,7e2bad24,3,256.0,4
training,7e4d4f7c,4,98.0,7
training,7e576d6e,3,900.0,7
training,7ec998c9,3,46.0,5
training,7ee1c6ea,3,100.0,8
training,7f4411dc,3,169.0,4
training,7fe24cdd,3,9.0,6
training,80214e03,3,288.0,8
training,80af3007,3,288.0,2
training,810b9b61,3,177.0,2
training,817e6c09,5,81.2,2
training,81c0276b,3,263.6666666666667,7
training,825aa9e9,4,57.0,8
training,82819916,4,76.0,8
training,83302e8f,3,592.6666666666666,4
training,833966f4,2,5.0,8
training,833dafe3,2,12.5,5
training,834ec97d,3,38.333333333333336,4
training,83b6b474,2,146.0,6
training,83eb0a57,3,900.0,5
training,8403a5d5,3,100.0,4
training,84551f4c,3,39.0,3
training,845d6e51,3,204.0,7
training,846bdb03,4,169.0,7
training,84ba50d3,3,83.66666666666667,3
training,84db8fc4,4,100.0,3
training,84f2aca1,4,108.25,5
training,855e0971,4,218.0,7
training,8597cfd7,4,90.0,4
training,85b81ff1,4,182.0,4
training,85c4e7cd,4,86.0,8
training,85fa5666,4,108.25,6
training,8618d23e,3,9.333333333333334,8
training,868de0fa,5,189.2,2
training,8719f442,3,9.0,2
training,8731374e,3,428.0,10
training,878187ab,2,240.5,5
training,87ab05b8,3,16.0,8
training,880c1354,3,64.0,8
training,88207623,2,240.0,7
training,8886d717,3,109.66666666666667,4
training,88a10436,3,72.33333333333333,6
training,88a62173,3,25.0,4
training,890034e9,3,441.0,6
training,891232d6,4,493.5,3
training,896d5239,3,192.0,3
training,8a004b2b,3,294.3333333333333,6
training,8a371977,3,505.0,2
training,8a6d367c,3,567.0,9
training,8abad3cf,2,38.5,6
training,8b28cd80,5,9.0,6
training,8ba14f53,6,36.0,9
training,8be77c9e,3,9.0,2
training,8cb8642d,3,222.66666666666666,6
training,8d5021e8,3,6.0,4
training,8d510a79,2,100.0,4
training,8dab14c2,4,227.75,2
training,8dae5dfc,4,310.5,8
training,8e1813be,3,178.0,8
training,8e2edd66,3,9.0,4
training,8e301a54,3,100.0,4
training,8e5a5113,3,33.0,9
training,8eb1be9a,2,202.5,3
training,8ee62060,3,129.33333333333334,5
training,8efcae92,3,400.0,3
training,8f2ea7aa,3,81.0,4
training,8fbca751,3,80.33333333333333,2
training,8fff9e47,2,24.0,10
training,902510d5,4,121.25,9
training,90347967,3,51.0,7
training,90c28cc7,3,441.0,8
training,90f3ed37,3,150.0,2
training,9110e3c5,7,49.0,10
training,913fb3ed,4,118.0,4
training,91413438,4,9.0,5
training,91714a58,3,256.0,10
training,9172f3a0,2,9.0,5
training,917bccba,3,144.0,6
training,928ad970,3,187.0,5
training,92e50de0,3,627.6666666666666,6
training,9344f635,3,64.66666666666667,9
training,9356391f,2,256.0,8
training,93b4f4b3,2,138.0,6
training,93b581b8,3,36.0,10
training,93c31fbe,3,500.3333333333333,5
training,94133066,3,483.0,7
training,941d9a10,3,100.0,2
training,94414823,3,100.0,8
training,9473c6fb,3,61.333333333333336,5
training,94be5b80,2,236.5,7
training,94f9d214,4,32.0,3
training,952a094c,3,100.0,10
training,9565186b,4,9.0,5
training,95755ff2,3,121.0,10
training,95990924,3,141.66666666666666,2
training,95a58926,3,369.3333333333333,5
training,963c33f8,3,236.0,4
training,963e52fc,3,35.0,5
training,963f59bc,4,144.75,6
training,96a8c0cd,4,259.75,4
training,9720b24f,4,119.0,9
training,97239e3d,3,289.0,7
training,973e499e,3,14.333333333333334,6
training,9772c176,2,608.0,2
training,97999447,3,85.33333333333333,5
training,97a05b5b,3,282.6666666666667,7
training,97c75046,3,68.0,3
training,981add89,2,650.0,7
training,9841fdad,2,296.0,5
training,984d8a3e,2,100.0,5
training,985ae207,3,400.0,6
training,98c475bf,4,400.0,8
training,98cf29f8,3,252.33333333333334,5
training,992798f6,4,208.0,3
training,99306f82,3,183.33333333333334,7
training,995c5fa3,4,56.0,2
training,9968a131,2,26.0,5
training,996ec1f3,3,361.0,10
training,99b1bc43,4,36.0,4
training,99caaf76,3,73.66666666666667,10
training,99fa7670,4,29.0,7
training,9a4bb226,3,225.0,10
training,9aec4887,3,229.66666666666666,8
training,9af7a82c,4,11.25,5
training,9b2a60aa,3,355.0,5
training,9b30e358,2,60.0,5
training,9b365c51,3,125.33333333333333,8
training,9b4c17c4,4,167.0,3
training,9b5080bb,3,486.0,5
training,9ba4a9aa,3,484.0,9
training,9bebae7a,5,106.6,3
training,9c1e755f,4,100.0,9
training,9c56f360,3,56.666666666666664,3
training,9caba7c3,3,361.0,3
training,9caf5b84,4,28.0,8
training,9d9215db,3,361.0,6
training,9ddd00f0,2,73.0,3
training,9def23fe,3,388.3333333333333,5
training,9dfd6313,3,16.666666666666668,8
training,9edfc990,3,216.66666666666666,10
training,9f236235,3,281.0,6
training,9f27f097,3,144.0,5
training,9f41bd9c,2,272.5,3
training,9f5f939b,3,192.0,2
training,9f669b64,3,100.0,8
training,9f8de559,4,196.0,6
training,a04b2602,3,323.3333333333333,3
training,a096bf4d,3,414.3333333333333,8
training,a09f6c25,3,348.3333333333333,4
training,a1570a43,4,73.0,3
training,a1aa0c1e,3,441.0,9
training,a2d730bd,3,304.0,4
training,a2fd1cf0,3,184.33333333333334,3
training,a3325580,6,100.0,9
training,a3f84088,4,205.5,2
training,a406ac07,3,100.0,8
training,a416b8f3,3,12.333333333333334,7
training,a416fc5b,3,121.0,5
training,a48eeaf7,2,100.0,3
training,a5313dff,3,90.66666666666667,2
training,a57f2f04,3,396.0,6
training,a59b95c0,5,9.0,8
training,a5f85a15,3,36.333333333333336,4
training,a61ba2ce,2,169.0,6
training,a61f2674,2,81.0,2
training,a644e277,2,376.5,4
training,a64e4611,3,900.0,4
training,a65b410d,3,61.333333333333336,2
training,a680ac02,3,390.0,7
training,a68b268e,6,81.0,6
training,a6953f00,3,16.666666666666668,10
training,a699fb00,3,75.0,2
training,a740d043,3,42.0,5
training,a78176bb,3,100.0,5
training,a79310a0,3,19.666666666666668,2
training,a834deea,3,131.33333333333334,2
training,a85d4709,4,9.0,2
training,a8610ef7,4,36.0,2
training,a87f7484,4,36.0,8
training,a8c38be5,2,210.0,10
training,a8d7556c,3,324.0,2
training,a934301b,3,195.66666666666666,3
training,a9f96cdd,4,15.0,2
training,aa18de87,4,39.0,5
training,aa300dc3,4,100.0,2
training,aa62e3f4,2,152.5,5
training,aab50785,5,186.6,10
training,aabf363d,2,49.0,5
training,aaecdb9a,3,100.0,6
training,aaef0977,2,64.0,3
training,aba27056,3,55.333333333333336,4
training,abbfd121,3,446.3333333333333,8
training,ac0a08a4,3,9.0,8
training,ac0c2ac3,3,83.66666666666667,10
training,ac0c5833,3,733.6666666666666,3
training,ac2e8ecf,3,216.33333333333334,6
training,ac3e2b04,4,162.0,3
training,ac605cbb,6,103.83333333333333,5
training,ac6f9922,3,249.0,6
training,ad173014,3,526.0,8
training,ad38a9d0,2,81.0,2
training,ad3b40cf,3,187.33333333333334,6
training,ad7e01d0,4,12.5,5
training,ae3edfdc,3,225.0,5
training,ae4f1146,4,81.0,3
training,ae58858e,4,81.5,2
training,aedd82e4,4,13.5,2
training,aee291af,3,278.6666666666667,3
training,af24b4cc,3,90.0,10
training,af726779,3,176.0,2
training,af902bf9,3,100.0,2
training,afe3afe9,3,900.0,8
training,b0722778,2,85.5,10
training,b0c4d837,6,59.666666666666664,3
training,b0f4d537,4,112.5,6
training,b15fca0b,5,44.4,3
training,b190f7f5,3,22.666666666666668,6
training,b1948b0a,3,18.0,2
training,b1986d4b,3,784.0,7
training,b1fc8b8e,5,36.0,2
training,b20f7c8b,3,396.0,9
training,b230c067,3,100.0,2
training,b25e450b,3,97.33333333333333,3
training,b27ca6d3,2,255.0,2
training,b2862040,4,149.25,2
training,b2bc3ffd,3,64.0,7
training,b457fec5,3,331.6666666666667,7
training,b4a43f3b,4,78.0,6
training,b527c5c6,4,325.0,3
training,b548a754,3,132.66666666666666,6
training,b5bb5719,7,21.142857142857142,3
training,b60334d2,2,81.0,2
training,b6afb2da,2,100.0,2
training,b71a7747,2,493.0,7
training,b7249182,3,150.0,6
training,b7256dcd,2,24.5,5
training,b745798f,3,75.66666666666667,8
training,b74ca5d1,3,900.0,10
training,b775ac94,3,498.6666666666667,8
training,b782dc8a,2,223.0,6
training,b7955b3c,3,157.33333333333334,10
training,b7999b51,3,214.0,7
training,b7cb93ac,3,120.0,5
training,b7f8a4d8,3,698.0,6
training,b7fb29bc,3,225.0,2
training,b8825c91,4,256.0,9
training,b8cdaf2b,4,27.0,7
training,b91ae062,5,9.0,9
training,b942fd60,6,69.33333333333333,6
training,b94a9452,3,148.0,6
training,b9630600,3,900.0,2
training,b9b7f026,3,240.66666666666666,9
training,ba1aa698,3,298.6666666666667,4
training,ba26e723,5,35.4,2
training,ba97ae07,4,84.0,7
training,ba9d41b8,3,235.66666666666666,6
training,bae5c565,2,125.0,9
training,baf41dbf,3,175.33333333333334,3
training,bb43febb,2,100.0,2
training,bb52a14b,3,484.0,4
training,bbb1b8b6,7,36.0,7
training,bbc9ae5d,5,7.2,6
training,bc1d5164,5,35.0,5
training,bc4146bd,4,16.0,8
training,bc93ec48,3,76.0,8
training,bcb3040b,3,166.66666666666666,3
training,bd14c3bf,3,291.0,3
training,bd283c4a,2,100.0,6
training,bd4472b8,3,25.333333333333332,7
training,bd5af378,4,54.5,6
training,bda2d7a6,3,45.333333333333336,7
training,bdad9b1f,2,36.0,3
training,be03b35f,3,25.0,3
training,be94b721,4,67.5,8
training,beb8660c,3,35.666666666666664,8
training,bf32578f,3,57.333333333333336,4
training,bf699163,2,289.0,8
training,bf89d739,4,197.25,2
training,c074846d,5,36.8,3
training,c0f76784,3,144.0,2
training,c1990cce,3,8.333333333333334,2
training,c1d99e64,3,217.0,4
training,c3202e5a,3,529.0,10
training,c35c1b4c,3,100.0,9
training,c3e719e8,3,9.0,6
training,c3fa4749,3,475.0,10
training,c444b776,2,266.0,8
training,c48954c1,3,9.0,6
training,c4d1a9ae,2,80.0,7
training,c59eb873,3,9.666666666666666,5
training,c6141b15,3,211.0,7
training,c61be7dc,3,123.66666666666667,3
training,c62e2108,3,402.6666666666667,5
training,c64f1187,2,333.0,8
training,c658a4bd,2,212.5,6
training,c6e1b8da,3,400.0,8
training,c7d4e6ad,2,100.0,7
training,c803e39c,3,130.66666666666666,9
training,c87289bb,4,112.5,3
training,c8b7cc0f,3,70.33333333333333,5
training,c8cbb738,3,126.66666666666667,6
training,c8f0f002,3,15.0,3
training,c909285e,3,678.6666666666666,8
training,c920a713,3,389.6666666666667,9
training,c92b942c,4,16.5,5
training,c9680e90,3,70.33333333333333,5
training,c97c0139,2,361.0,2
training,c9e6f938,3,9.0,2
training,c9f8e694,2,144.0,6
training,ca8de6ea,3,25.0,10
training,caa06a1f,3,73.66666666666667,6
training,cad67732,3,41.666666666666664,7
training,cb227835,3,163.66666666666666,2
training,cbded52d,3,64.0,6
training,cc9053aa,3,69.0,4
training,ccd554ac,6,9.666666666666666,6
training,cce03e0d,3,9.0,3
training,cd3c21df,3,144.66666666666666,9
training,cdecee7f,3,100.0,10
training,ce039d91,4,100.0,2
training,ce22a75a,2,81.0,2
training,ce4f8723,4,36.0,4
training,ce602527,4,297.75,6
training,ce8d95cc,4,120.5,9
training,ce9e57f2,3,72.0,2
training,cf133acc,3,225.0,10
training,cf5fd0ad,3,9.0,5
training,cf98881b,5,56.0,5
training,cfb2ce5a,3,100.0,10
training,d017b73f,4,31.5,6
training,d037b0a7,3,9.0,7
training,d06dbe63,2,169.0,2
training,d07ae81c,3,207.0,6
training,d0f5fe59,3,133.33333333333334,2
